pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7u64	E	F	0	E	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	G	H	0	G	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	I	J	0	I	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	K	L	0	K	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	M	N	0	M	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	O	P	0	O	Hapten	7V7	N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus	mus musculus	Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
7u64	Q	R	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/11/23	Crystal Structure of Anti-Fentanyl Antibody HY6-F9.6 Fab Complexed with Fentanyl	Mus musculus	mus musculus	mus musculus		Rodarte, J.V., Pancera, M.P.	1.75	X-RAY DIFFRACTION	0.225	0.197	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
4cad	E	D	0	F	protein	NA	ras and a-factor converting enzyme 1, rce1	PROTEIN BINDING	10/08/13	Mechanism of farnesylated CAAX protein processing by the integral  membrane protease Rce1	METHANOCOCCUS MARIPALUDIS; MUS MUSCULUS	mus musculus	mus musculus	methanococcus maripaludis	Kulkarni, K., Manolaridis, I., Dodd, R.B., Cronin, N., Ogasawara, S., Iwata, S., Barford, D.	2.5	X-RAY DIFFRACTION	0.2669	0.2262	False	False	IGHV1	IGKV12	Kappa	None	None	None	None	None
4cad	K	J	0	L	protein	NA	ras and a-factor converting enzyme 1, rce1	PROTEIN BINDING	10/08/13	Mechanism of farnesylated CAAX protein processing by the integral  membrane protease Rce1	METHANOCOCCUS MARIPALUDIS; MUS MUSCULUS	mus musculus	mus musculus	methanococcus maripaludis	Kulkarni, K., Manolaridis, I., Dodd, R.B., Cronin, N., Ogasawara, S., Iwata, S., Barford, D.	2.5	X-RAY DIFFRACTION	0.2669	0.2262	False	False	IGHV1	IGKV12	Kappa	None	None	None	None	None
4cad	H	G	0	I	protein	NA	ras and a-factor converting enzyme 1, rce1	PROTEIN BINDING	10/08/13	Mechanism of farnesylated CAAX protein processing by the integral  membrane protease Rce1	METHANOCOCCUS MARIPALUDIS; MUS MUSCULUS	mus musculus	mus musculus	methanococcus maripaludis	Kulkarni, K., Manolaridis, I., Dodd, R.B., Cronin, N., Ogasawara, S., Iwata, S., Barford, D.	2.5	X-RAY DIFFRACTION	0.2669	0.2262	False	False	IGHV1	IGKV12	Kappa	None	None	None	None	None
4cad	B	A	0	C	protein	NA	ras and a-factor converting enzyme 1, rce1	PROTEIN BINDING	10/08/13	Mechanism of farnesylated CAAX protein processing by the integral  membrane protease Rce1	METHANOCOCCUS MARIPALUDIS; MUS MUSCULUS	mus musculus	mus musculus	methanococcus maripaludis	Kulkarni, K., Manolaridis, I., Dodd, R.B., Cronin, N., Ogasawara, S., Iwata, S., Barford, D.	2.5	X-RAY DIFFRACTION	0.2669	0.2262	False	False	IGHV1	IGKV12	Kappa	None	None	None	None	None
3i75	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/08/09	Antibody Structure	MUS MUSCULUS	mus musculus	mus musculus		Isaacs, N.W., Riboldi-Tunnicliffe, A.	1.95	X-RAY DIFFRACTION	0.213	0.180	False	False	IGHV1	IGKV19	Kappa	None	None	None	None	None
6dc5	H	I	0	G	protein	NA	rsv fusion glycoprotein	IMMUNE SYSTEM	05/04/18	RSV prefusion F in complex with AM22 Fab	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2), human immunodeficiency virus 1 	Jones, H.G., McLellan, J.S.	3.5	X-RAY DIFFRACTION	0.280	0.217	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6dc5	B	C	0	A	protein	NA	rsv fusion glycoprotein	IMMUNE SYSTEM	05/04/18	RSV prefusion F in complex with AM22 Fab	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2), human immunodeficiency virus 1 	Jones, H.G., McLellan, J.S.	3.5	X-RAY DIFFRACTION	0.280	0.217	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6dc5	E	F	0	D	protein	NA	rsv fusion glycoprotein	IMMUNE SYSTEM	05/04/18	RSV prefusion F in complex with AM22 Fab	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2), human immunodeficiency virus 1 	Jones, H.G., McLellan, J.S.	3.5	X-RAY DIFFRACTION	0.280	0.217	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6o3l	A	B	0	E	peptide	NA	mper peptide, region 671-683 of hiv-1 gp41	IMMUNE SYSTEM	02/26/19	Crystal structure of the Fab fragment of the human HIV-1 neutralizing antibody PGZL1.H4K3 in complex with its MPER peptide epitope (region 671-683 of HIV-1 gp41).	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Irimia, A., Wilson, I.A.	1.98	X-RAY DIFFRACTION	0.211	0.170	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6o3l	H	L	0	D	peptide	NA	mper peptide, region 671-683 of hiv-1 gp41	IMMUNE SYSTEM	02/26/19	Crystal structure of the Fab fragment of the human HIV-1 neutralizing antibody PGZL1.H4K3 in complex with its MPER peptide epitope (region 671-683 of HIV-1 gp41).	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Irimia, A., Wilson, I.A.	1.98	X-RAY DIFFRACTION	0.211	0.170	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
4xnz	H	L	0	G	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	01/16/15	Crystal structure of broadly and potently neutralizing antibody VRC06B in complex with HIV-1 clade A/E strain 93TH057 gp120	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	3.389	X-RAY DIFFRACTION	0.301	0.244	False	True	unknown	unknown	unknown	None	None	None	None	None
4xnz	E	F	0	D	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	01/16/15	Crystal structure of broadly and potently neutralizing antibody VRC06B in complex with HIV-1 clade A/E strain 93TH057 gp120	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	3.389	X-RAY DIFFRACTION	0.301	0.244	False	True	unknown	unknown	unknown	None	None	None	None	None
4xnz	B	C	0	A	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	01/16/15	Crystal structure of broadly and potently neutralizing antibody VRC06B in complex with HIV-1 clade A/E strain 93TH057 gp120	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	3.389	X-RAY DIFFRACTION	0.301	0.244	False	True	unknown	unknown	unknown	None	None	None	None	None
6oe4	E	F	0	D	protein	NA	fusion glycoprotein f0	Viral protein/immune system	03/27/19	Prefusion RSV F monomer bound by neutralizing antibody CR9501	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HOMO SAPIENS	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2) 	McLellan, J.S., Gilman, M.S.A.	3.3	X-RAY DIFFRACTION	0.259	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6oe4	B	C	0	A	protein	NA	fusion glycoprotein f0	Viral protein/immune system	03/27/19	Prefusion RSV F monomer bound by neutralizing antibody CR9501	HUMAN RESPIRATORY SYNCYTIAL VIRUS A (STRAIN A2); HOMO SAPIENS	homo sapiens	homo sapiens	human respiratory syncytial virus a (straina2) 	McLellan, J.S., Gilman, M.S.A.	3.3	X-RAY DIFFRACTION	0.259	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6ffj	E	E	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	01/08/18	Anti-tumor antibody 14F7-derived single chain fragment variable (scFv)	HOMO SAPIENS	homo sapiens			Bjerregaard-Andersen, K., Heggelund, J.E., Krengel, U.	2.2	X-RAY DIFFRACTION	0.238	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
6ffj	A	A	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	01/08/18	Anti-tumor antibody 14F7-derived single chain fragment variable (scFv)	HOMO SAPIENS	homo sapiens			Bjerregaard-Andersen, K., Heggelund, J.E., Krengel, U.	2.2	X-RAY DIFFRACTION	0.238	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
6ffj	G	G	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	01/08/18	Anti-tumor antibody 14F7-derived single chain fragment variable (scFv)	HOMO SAPIENS	homo sapiens			Bjerregaard-Andersen, K., Heggelund, J.E., Krengel, U.	2.2	X-RAY DIFFRACTION	0.238	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
6ffj	C	C	0	NA	NA	NA	NA	ANTITUMOR PROTEIN	01/08/18	Anti-tumor antibody 14F7-derived single chain fragment variable (scFv)	HOMO SAPIENS	homo sapiens			Bjerregaard-Andersen, K., Heggelund, J.E., Krengel, U.	2.2	X-RAY DIFFRACTION	0.238	0.184	True	True	unknown	unknown	unknown	None	None	None	None	None
6wkl	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/16/20	Fab Fragment of Anti-human LAG3 antibody (BAP050)	MUS MUSCULUS	mus musculus	mus musculus		Agnihotri, P., Mishra, A.K., Mariuzza, R.A.	1.89	X-RAY DIFFRACTION	0.223	0.193	False	True	IGHV9	IGKV10	Kappa	None	None	None	None	None
6cez	H	L	0	P	peptide	NA	hiv-1 gp120 v2 peptide con b	IMMUNE SYSTEM	02/13/18	Crystal Structure of Rabbit Anti-HIV-1 gp120 V2 Fab 16C2 in complex with V2 peptide ConB	ORYCTOLAGUS CUNICULUS; SYNTHETIC CONSTRUCT	oryctolagus cuniculus	oryctolagus cuniculus	human immunodeficiency virus 1	Kong, X., Pan, R.	2.399	X-RAY DIFFRACTION	0.296	0.237	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
6was	H	L	0	J	protein	NA	1fd6 16055 v1v2 scaffold	IMMUNE SYSTEM	03/26/20	Structure of D19.PA8 Fab in complex with 1FD6 16055 V1V2 scaffold	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Singh, S., Liban, T.J., Pancera, M.	1.904	X-RAY DIFFRACTION	0.228	0.194	False	True	IGHV3	IGLV6	Lambda	None	None	None	None	None
6was	A	B	0	G	protein	NA	1fd6 16055 v1v2 scaffold	IMMUNE SYSTEM	03/26/20	Structure of D19.PA8 Fab in complex with 1FD6 16055 V1V2 scaffold	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Singh, S., Liban, T.J., Pancera, M.	1.904	X-RAY DIFFRACTION	0.228	0.194	False	True	IGHV3	IGLV6	Lambda	None	None	None	None	None
2gsi	B	A	0	W	peptide	NA	thermonuclease	IMMUNE SYSTEM	04/26/06	Crystal Structure of a Murine Fab in Complex with an 11 Residue Peptide Derived from Staphylococcal Nuclease	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Armstrong, A.A., Amzel, L.M.	2.81	X-RAY DIFFRACTION	0.293	0.221	False	False	IGHV14	IGKV3	Kappa	None	None	None	None	None
2gsi	H	G	0	Z	peptide	NA	thermonuclease	IMMUNE SYSTEM	04/26/06	Crystal Structure of a Murine Fab in Complex with an 11 Residue Peptide Derived from Staphylococcal Nuclease	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Armstrong, A.A., Amzel, L.M.	2.81	X-RAY DIFFRACTION	0.293	0.221	False	False	IGHV14	IGKV3	Kappa	None	None	None	None	None
2gsi	D	C	0	X	peptide	NA	thermonuclease	IMMUNE SYSTEM	04/26/06	Crystal Structure of a Murine Fab in Complex with an 11 Residue Peptide Derived from Staphylococcal Nuclease	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Armstrong, A.A., Amzel, L.M.	2.81	X-RAY DIFFRACTION	0.293	0.221	False	False	IGHV14	IGKV3	Kappa	None	None	None	None	None
2gsi	F	E	0	Y	peptide	NA	thermonuclease	IMMUNE SYSTEM	04/26/06	Crystal Structure of a Murine Fab in Complex with an 11 Residue Peptide Derived from Staphylococcal Nuclease	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Armstrong, A.A., Amzel, L.M.	2.81	X-RAY DIFFRACTION	0.293	0.221	False	False	IGHV14	IGKV3	Kappa	None	None	None	None	None
6yxm	H	L	0	B	peptide	NA	unknown	IMMUNE SYSTEM	05/03/20	Crystal structure of ACPA 1F2 in complex with CII-C-39-CIT	HOMO SAPIENS				Ge, C., Holmdahl, R.	2.85	X-RAY DIFFRACTION	0.276	0.210	False	False	IGHV7	unknown	unknown	None	None	None	None	None
6nm6	D	E	0	B	protein	NA	envelope glycoprotein gp41	IMMUNE SYSTEM	01/10/19	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to N6 FR3-03 scFv in Complex with Crystallization Chaperones 3H109L Fab and 35O22 scFv at 3.2 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Lai, Y.-T., Kwong, P.D.	2.739	X-RAY DIFFRACTION	0.288	0.240	False	True	unknown	unknown	unknown	None	None	None	None	None
6nm6	H	L	0	G	protein	NA	envelope glycoprotein gp120	IMMUNE SYSTEM	01/10/19	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to N6 FR3-03 scFv in Complex with Crystallization Chaperones 3H109L Fab and 35O22 scFv at 3.2 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Lai, Y.-T., Kwong, P.D.	2.739	X-RAY DIFFRACTION	0.288	0.240	False	True	IGHV4	unknown	unknown	None	None	None	None	None
6nm6	U	V	0	G	protein	NA	envelope glycoprotein gp120	IMMUNE SYSTEM	01/10/19	Crystal Structure of HIV-1 BG505 SOSIP.664 Prefusion Env Trimer Bound to N6 FR3-03 scFv in Complex with Crystallization Chaperones 3H109L Fab and 35O22 scFv at 3.2 Angstrom	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Lai, Y.-T., Kwong, P.D.	2.739	X-RAY DIFFRACTION	0.288	0.240	False	True	unknown	unknown	unknown	None	None	None	None	None
4r90	H	L	0	NA	NA	NA	NA	Immune System	09/03/14	Anti CD70 Llama glama Fab 27B3	LLAMA GLAMA	lama glama	lama glama		Klarenbeek, A., El Mazouari, K., Desmyter, A., Blanchetot, C., Hultberg, A., Roovers, R.C., Cambillau, C., Spinelli, S., Del-Favero, J., Verrips, T., de Haard, H., Achour, I.	1.746	X-RAY DIFFRACTION	0.185	0.163	False	True	IGHV3	IGLV8	Lambda	None	None	None	None	None
5nbi	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/02/17	Principles for computational design of antibodies	ESCHERICHIA COLI				Dym, O., Fleishman, S.J.	2.1	X-RAY DIFFRACTION	0.258	0.218	False	True	IGHV6	IGKV3	Kappa	None	None	None	None	None
9iy2	H	L	0	A	protein	NA	secreted protein orf2	IMMUNE SYSTEM	08/28/24	Immune complex of HEV-E2s, nAb 8C11 and nAb 8H3	Hepatitis E virus (strain Pakistan); Mus sp.	mus sp.	mus sp.	hepatitis e virus (strain pakistan)	Minghua, Z., Lizhi, Z., Ying, G., Shaowei, L.	3.476	X-RAY DIFFRACTION	0.269	0.223	False	False	IGHV8	IGKV12	Kappa	None	None	None	None	None
9iy2	D	C	0	B	protein	NA	secreted protein orf2	IMMUNE SYSTEM	08/28/24	Immune complex of HEV-E2s, nAb 8C11 and nAb 8H3	Hepatitis E virus (strain Pakistan); Mus sp.	mus sp.	mus sp.	hepatitis e virus (strain pakistan)	Minghua, Z., Lizhi, Z., Ying, G., Shaowei, L.	3.476	X-RAY DIFFRACTION	0.269	0.223	False	False	IGHV8	IGKV12	Kappa	None	None	None	None	None
9iy2	E	F	0	B	protein	NA	secreted protein orf2	IMMUNE SYSTEM	08/28/24	Immune complex of HEV-E2s, nAb 8C11 and nAb 8H3	Hepatitis E virus (strain Pakistan); Mus sp.	mus sp.	mus sp.	hepatitis e virus (strain pakistan)	Minghua, Z., Lizhi, Z., Ying, G., Shaowei, L.	3.476	X-RAY DIFFRACTION	0.269	0.223	False	False	IGHV2	IGKV8	Kappa	None	None	None	None	None
9iy2	G	I	0	A	protein	NA	secreted protein orf2	IMMUNE SYSTEM	08/28/24	Immune complex of HEV-E2s, nAb 8C11 and nAb 8H3	Hepatitis E virus (strain Pakistan); Mus sp.	mus sp.	mus sp.	hepatitis e virus (strain pakistan)	Minghua, Z., Lizhi, Z., Ying, G., Shaowei, L.	3.476	X-RAY DIFFRACTION	0.269	0.223	False	False	IGHV2	IGKV8	Kappa	None	None	None	None	None
8g8a	A	B	0	C	peptide	NA	env polyprotein	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1317.8 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Janus, B.M., Astavans, A., Ofek, G.	2.44	X-RAY DIFFRACTION	0.256	0.222	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
8g8a	H	L	0	P	peptide	NA	env polyprotein	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1317.8 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Janus, B.M., Astavans, A., Ofek, G.	2.44	X-RAY DIFFRACTION	0.256	0.222	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
8p88	C	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/31/24	X-ray structure of cardiotoxic light chain H3 in complex to neutralizing nanobody C4	Homo sapiens; Lama glama	lama glama	homo sapiens		Broggini, L., Ricagno, S.	2.022	X-RAY DIFFRACTION	0.233	0.222	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
8f6l	A	B	0	C	protein	NA	b- and t-lymphocyte attenuator	IMMUNE SYSTEM	05/24/23	anti-BTLA monoclonal antibody h25F7 in complex with BTLA	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Hendle, J., Atwell, S., Lieu, R., Hickey, M., Weichert, K.	1.85	X-RAY DIFFRACTION	0.240	0.198	False	True	IGHV1	IGKV4	Kappa	None	None	None	None	None
2ntf	H	L	0	H	Hapten	OHM	3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE	IMMUNE SYSTEM	11/07/06	Crystal Structure of a Quorum-Quenching Antibody in Complex with an N-Acyl-L-Homoserine Lactone Analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Debler, E.W., Wilson, I.A.	3.18	X-RAY DIFFRACTION	0.265	0.210	False	False	IGHV1	IGLV1	Lambda	3.00E-07	-9.25	Other	37	17400249
2ntf	B	A	0	B	Hapten	OHM	3-OXO-N-[(3S)-2-OXOPYRROLIDIN-3-YL]DODECANAMIDE	IMMUNE SYSTEM	11/07/06	Crystal Structure of a Quorum-Quenching Antibody in Complex with an N-Acyl-L-Homoserine Lactone Analog	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Debler, E.W., Wilson, I.A.	3.18	X-RAY DIFFRACTION	0.265	0.210	False	False	IGHV1	IGLV1	Lambda	3.00E-07	-9.25	Other	37	17400249
4fze	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/06/12	Crystal structure of N26_i1 Fab, an ADCC mediating anti-HIV-1 antibody.	HOMO SAPIENS	homo sapiens	homo sapiens		Tolbert, W.D., Wu, X., Pazgier, M.	1.999	X-RAY DIFFRACTION	0.245	0.186	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
3o0r	H	L	0	B | C	protein | protein	NA | NA	nitric oxide reductase subunit b | nitric oxide reductase subunit c	IMMUNE SYSTEM/OXIDOREDUCTASE	07/20/10	Crystal structure of nitric oxide reductase from Pseudomonas aeruginosa in complex with antibody fragment	MUS MUSCULUS; PSEUDOMONAS AERUGINOSA	mus musculus	mus musculus	pseudomonas aeruginosa | pseudomonas aeruginosa	Hino, T., Matsumoto, Y., Nagano, S., Sugimoto, H., Fukumori, Y., Murata, T., Iwata, S., Shiro, Y.	2.7	X-RAY DIFFRACTION	0.247	0.185	False	False	IGHV1	IGKV16	Kappa	None	None	None
3ujj	H	L	0	P	peptide	NA	gp120	IMMUNE SYSTEM	11/07/11	Crystal structure of anti-HIV-1 V3 Fab 4025 in complex with Con A peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Kong, X.P., Sampson, J.	2.0	X-RAY DIFFRACTION	0.213	0.177	False	False	IGHV5	IGLV3	Lambda	None	None	None	None	None
4qww	D	C	0	B	protein	NA	acetylcholinesterase	HYDROLASE/IMMUNE SYSTEM	07/17/14	Crystal structure of the Fab410-BfAChE complex	BUNGARUS FASCIATUS; MUS MUSCULUS	mus musculus	mus musculus	bungarus fasciatus	Bourne, Y., Renault, L., Marchot, P.	2.7	X-RAY DIFFRACTION	0.239	0.199	False	False	IGHV10	IGKV4	Kappa	None	None	None	None	None
4qww	F	E	0	A	protein	NA	acetylcholinesterase	HYDROLASE/IMMUNE SYSTEM	07/17/14	Crystal structure of the Fab410-BfAChE complex	BUNGARUS FASCIATUS; MUS MUSCULUS	mus musculus	mus musculus	bungarus fasciatus	Bourne, Y., Renault, L., Marchot, P.	2.7	X-RAY DIFFRACTION	0.239	0.199	False	False	IGHV10	IGKV4	Kappa	None	None	None	None	None
3ld8	C	B	0	A	protein	NA	bifunctional arginine demethylase and lysyl-hydroxylasejmjd6 	IMMUNE SYSTEM	01/12/10	Structure of JMJD6 and Fab Fragments	HOMO SAPIENS; CRICETULUS MIGRATORIUS	cricetulus migratorius	cricetulus migratorius	homo sapiens	Hong, X., Zang, J., White, J., Kappler, J.W., Wang, C., Zhang, G.	2.7	X-RAY DIFFRACTION	0.260	0.233	False	True	IGHV3	IGKV8	Kappa	None	None	None	None	None
4nzu	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/12/13	Crystal structure of the primary monoclonal antibody 13PL Fab' from a multiple myeloma patient	HOMO SAPIENS	homo sapiens	homo sapiens		Zhu, X., Wilson, I.A.	1.2	X-RAY DIFFRACTION	0.163	0.136	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
6bpd	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/22/17	Plasmodium vivax invasion blocking monoclonal antibody 10B12	MUS MUSCULUS	mus musculus	mus musculus		Gruszczyk, J., Chan, L.J., Tham, W.H.	2.32	X-RAY DIFFRACTION	0.262	0.211	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
6wh9	E	F	0	D	protein	NA	kr1	OXIDOREDUCTASE/IMMUNE SYSTEM	04/07/20	Ketoreductase from module 1 of the 6-deoxyerythronolide B synthase (KR1) in complex with antibody fragment (Fab) 1D10	SACCHAROPOLYSPORA ERYTHRAEA; HOMO SAPIENS	homo sapiens	homo sapiens	saccharopolyspora erythraea	Cogan, D.P., Mathews, I.I., Khosla, C.	2.75	X-RAY DIFFRACTION	0.271	0.228	False	True	IGHV1	IGLV7	Lambda	None	None	None	None	None
6wh9	H	I	0	A	protein	NA	kr1	OXIDOREDUCTASE/IMMUNE SYSTEM	04/07/20	Ketoreductase from module 1 of the 6-deoxyerythronolide B synthase (KR1) in complex with antibody fragment (Fab) 1D10	SACCHAROPOLYSPORA ERYTHRAEA; HOMO SAPIENS	homo sapiens	homo sapiens	saccharopolyspora erythraea	Cogan, D.P., Mathews, I.I., Khosla, C.	2.75	X-RAY DIFFRACTION	0.271	0.228	False	True	IGHV1	IGLV7	Lambda	None	None	None	None	None
6wh9	B	C	0	G	protein	NA	kr1	OXIDOREDUCTASE/IMMUNE SYSTEM	04/07/20	Ketoreductase from module 1 of the 6-deoxyerythronolide B synthase (KR1) in complex with antibody fragment (Fab) 1D10	SACCHAROPOLYSPORA ERYTHRAEA; HOMO SAPIENS	homo sapiens	homo sapiens	saccharopolyspora erythraea	Cogan, D.P., Mathews, I.I., Khosla, C.	2.75	X-RAY DIFFRACTION	0.271	0.228	False	True	IGHV1	IGLV7	Lambda	None	None	None	None	None
